config,mean_test_score,std_test_score,param_final_estimator__C,param_passthrough
ES_EN,0.6663145365934504,0.010999465984575517,1.0,False
ES_EN,0.6642653047792677,0.019276076503598666,10.0,False
ES_EN,0.6622580975507744,0.017921713051013036,5.0,False
ES_EN,0.6531364946809434,0.013341345745259836,0.1,False
ES_EN,0.5446377357868221,0.015820747600024034,1.0,True
ES_EN,0.5444144317166253,0.016077920184256616,5.0,True
ES_EN,0.5425476566757612,0.01473150865148588,10.0,True
ES_EN,0.5425011722736972,0.015734376692668865,0.1,True
